indic,unit,geotime,date,value
TOTAL,PCH_Q1_NSA,FI,2015-07-01,0
TOTAL,PCH_Q1_NSA,FI,2015-10-01,0
TOTAL,PCH_Q1_NSA,FI,2016-01-01,0
TOTAL,PCH_Q1_NSA,FI,2016-04-01,1
TOTAL,PCH_Q1_NSA,FI,2016-07-01,0
TOTAL,PCH_Q1_NSA,FI,2016-10-01,0
TOTAL,PCH_Q1_NSA,FI,2017-01-01,1
TOTAL,PCH_Q1_NSA,FI,2017-04-01,0
TOTAL,PCH_Q1_NSA,FI,2017-07-01,0
TOTAL,PCH_Q1_NSA,FI,2017-10-01,0
TOTAL,PCH_Q1_NSA,FI,2018-01-01,0
TOTAL,PCH_Q1_NSA,FI,2018-04-01,1
TOTAL,PCH_Q1_NSA,FR,2015-07-01,1
TOTAL,PCH_Q1_NSA,FR,2015-10-01,0
TOTAL,PCH_Q1_NSA,FR,2016-01-01,0
TOTAL,PCH_Q1_NSA,FR,2016-04-01,0
TOTAL,PCH_Q1_NSA,FR,2016-07-01,2
TOTAL,PCH_Q1_NSA,FR,2016-10-01,0
TOTAL,PCH_Q1_NSA,FR,2017-01-01,0
TOTAL,PCH_Q1_NSA,FR,2017-04-01,1
TOTAL,PCH_Q1_NSA,FR,2017-07-01,2
TOTAL,PCH_Q1_NSA,FR,2017-10-01,0
TOTAL,PCH_Q1_NSA,FR,2018-01-01,0
TOTAL,PCH_Q1_NSA,FR,2018-04-01,0
TOTAL,PCH_Q1_NSA,HR,2015-07-01,0
TOTAL,PCH_Q1_NSA,HR,2015-10-01,0
TOTAL,PCH_Q1_NSA,HR,2016-01-01,1
TOTAL,PCH_Q1_NSA,HR,2016-04-01,0
TOTAL,PCH_Q1_NSA,HR,2016-07-01,1
TOTAL,PCH_Q1_NSA,HR,2016-10-01,0
TOTAL,PCH_Q1_NSA,HR,2017-01-01,0
TOTAL,PCH_Q1_NSA,HR,2017-04-01,3
TOTAL,PCH_Q1_NSA,HR,2017-07-01,0
TOTAL,PCH_Q1_NSA,HR,2017-10-01,3
TOTAL,PCH_Q1_NSA,HR,2018-01-01,0
TOTAL,PCH_Q1_NSA,HR,2018-04-01,0
TOTAL,PCH_Q1_NSA,HU,2015-07-01,4
TOTAL,PCH_Q1_NSA,HU,2015-10-01,1
TOTAL,PCH_Q1_NSA,HU,2016-01-01,4
TOTAL,PCH_Q1_NSA,HU,2016-04-01,2
TOTAL,PCH_Q1_NSA,HU,2016-07-01,2
TOTAL,PCH_Q1_NSA,HU,2016-10-01,1
TOTAL,PCH_Q1_NSA,HU,2017-01-01,1
TOTAL,PCH_Q1_NSA,HU,2017-04-01,3
TOTAL,PCH_Q1_NSA,HU,2017-07-01,3
TOTAL,PCH_Q1_NSA,HU,2017-10-01,1
TOTAL,PCH_Q1_NSA,HU,2018-01-01,3
TOTAL,PCH_Q1_NSA,HU,2018-04-01,1
TOTAL,PCH_Q1_NSA,IE,2015-07-01,3
TOTAL,PCH_Q1_NSA,IE,2015-10-01,1
TOTAL,PCH_Q1_NSA,IE,2016-01-01,0
TOTAL,PCH_Q1_NSA,IE,2016-04-01,1
TOTAL,PCH_Q1_NSA,IE,2016-07-01,4
TOTAL,PCH_Q1_NSA,IE,2016-10-01,2
TOTAL,PCH_Q1_NSA,IE,2017-01-01,1
TOTAL,PCH_Q1_NSA,IE,2017-04-01,2
TOTAL,PCH_Q1_NSA,IE,2017-07-01,5
TOTAL,PCH_Q1_NSA,IE,2017-10-01,2
TOTAL,PCH_Q1_NSA,IE,2018-01-01,1
TOTAL,PCH_Q1_NSA,IE,2018-04-01,2
TOTAL,PCH_Q1_NSA,IS,2015-07-01,1
TOTAL,PCH_Q1_NSA,IS,2015-10-01,2
TOTAL,PCH_Q1_NSA,IS,2016-01-01,2
TOTAL,PCH_Q1_NSA,IS,2016-04-01,1
TOTAL,PCH_Q1_NSA,IS,2016-07-01,3
TOTAL,PCH_Q1_NSA,IS,2016-10-01,5
TOTAL,PCH_Q1_NSA,IS,2017-01-01,4
TOTAL,PCH_Q1_NSA,IS,2017-04-01,6
TOTAL,PCH_Q1_NSA,IS,2017-07-01,4
TOTAL,PCH_Q1_NSA,IS,2017-10-01,1
TOTAL,PCH_Q1_NSA,IS,2018-01-01,1
TOTAL,PCH_Q1_NSA,IS,2018-04-01,1
TOTAL,PCH_Q1_NSA,IT,2015-07-01,0
TOTAL,PCH_Q1_NSA,IT,2015-10-01,0
TOTAL,PCH_Q1_NSA,IT,2016-01-01,0
TOTAL,PCH_Q1_NSA,IT,2016-04-01,0
TOTAL,PCH_Q1_NSA,IT,2016-07-01,0
TOTAL,PCH_Q1_NSA,IT,2016-10-01,1
TOTAL,PCH_Q1_NSA,IT,2017-01-01,0
TOTAL,PCH_Q1_NSA,IT,2017-04-01,0
TOTAL,PCH_Q1_NSA,IT,2017-07-01,0
TOTAL,PCH_Q1_NSA,IT,2017-10-01,0
TOTAL,PCH_Q1_NSA,IT,2018-01-01,0
TOTAL,PCH_Q1_NSA,IT,2018-04-01,0
TOTAL,PCH_Q1_NSA,LT,2015-07-01,1
TOTAL,PCH_Q1_NSA,LT,2015-10-01,2
TOTAL,PCH_Q1_NSA,LT,2016-01-01,0
TOTAL,PCH_Q1_NSA,LT,2016-04-01,3
TOTAL,PCH_Q1_NSA,LT,2016-07-01,3
TOTAL,PCH_Q1_NSA,LT,2016-10-01,1
TOTAL,PCH_Q1_NSA,LT,2017-01-01,1
TOTAL,PCH_Q1_NSA,LT,2017-04-01,3
TOTAL,PCH_Q1_NSA,LT,2017-07-01,1
TOTAL,PCH_Q1_NSA,LT,2017-10-01,0
TOTAL,PCH_Q1_NSA,LT,2018-01-01,2
TOTAL,PCH_Q1_NSA,LT,2018-04-01,2
TOTAL,PCH_Q1_NSA,LU,2015-07-01,1
TOTAL,PCH_Q1_NSA,LU,2015-10-01,0
TOTAL,PCH_Q1_NSA,LU,2016-01-01,1
TOTAL,PCH_Q1_NSA,LU,2016-04-01,2
TOTAL,PCH_Q1_NSA,LU,2016-07-01,1
TOTAL,PCH_Q1_NSA,LU,2016-10-01,1
TOTAL,PCH_Q1_NSA,LU,2017-01-01,0
TOTAL,PCH_Q1_NSA,LU,2017-04-01,2
TOTAL,PCH_Q1_NSA,LU,2017-07-01,0
TOTAL,PCH_Q1_NSA,LU,2017-10-01,1
TOTAL,PCH_Q1_NSA,LU,2018-01-01,2
TOTAL,PCH_Q1_NSA,LU,2018-04-01,0
TOTAL,PCH_Q1_NSA,LV,2015-07-01,0
TOTAL,PCH_Q1_NSA,LV,2015-10-01,2
TOTAL,PCH_Q1_NSA,LV,2016-01-01,0
TOTAL,PCH_Q1_NSA,LV,2016-04-01,5
TOTAL,PCH_Q1_NSA,LV,2016-07-01,0
TOTAL,PCH_Q1_NSA,LV,2016-10-01,0
TOTAL,PCH_Q1_NSA,LV,2017-01-01,2
TOTAL,PCH_Q1_NSA,LV,2017-04-01,5
TOTAL,PCH_Q1_NSA,LV,2017-07-01,0
TOTAL,PCH_Q1_NSA,LV,2017-10-01,0
TOTAL,PCH_Q1_NSA,LV,2018-01-01,5
TOTAL,PCH_Q1_NSA,LV,2018-04-01,3
TOTAL,PCH_Q1_NSA,MT,2015-07-01,6
TOTAL,PCH_Q1_NSA,MT,2015-10-01,3
TOTAL,PCH_Q1_NSA,MT,2016-01-01,5
TOTAL,PCH_Q1_NSA,MT,2016-04-01,2
TOTAL,PCH_Q1_NSA,MT,2016-07-01,4
TOTAL,PCH_Q1_NSA,MT,2016-10-01,3
TOTAL,PCH_Q1_NSA,MT,2017-01-01,5
TOTAL,PCH_Q1_NSA,MT,2017-04-01,3
TOTAL,PCH_Q1_NSA,MT,2017-07-01,3
TOTAL,PCH_Q1_NSA,MT,2017-10-01,3
TOTAL,PCH_Q1_NSA,MT,2018-01-01,4
TOTAL,PCH_Q1_NSA,MT,2018-04-01,3
TOTAL,PCH_Q1_NSA,NL,2015-07-01,2
TOTAL,PCH_Q1_NSA,NL,2015-10-01,0
TOTAL,PCH_Q1_NSA,NL,2016-01-01,1
TOTAL,PCH_Q1_NSA,NL,2016-04-01,0
TOTAL,PCH_Q1_NSA,NL,2016-07-01,2
TOTAL,PCH_Q1_NSA,NL,2016-10-01,1
TOTAL,PCH_Q1_NSA,NL,2017-01-01,2
TOTAL,PCH_Q1_NSA,NL,2017-04-01,1
TOTAL,PCH_Q1_NSA,NL,2017-07-01,2
TOTAL,PCH_Q1_NSA,NL,2017-10-01,2
TOTAL,PCH_Q1_NSA,NL,2018-01-01,2
TOTAL,PCH_Q1_NSA,NL,2018-04-01,1
TOTAL,PCH_Q1_NSA,NO,2015-07-01,0
TOTAL,PCH_Q1_NSA,NO,2015-10-01,0
TOTAL,PCH_Q1_NSA,NO,2016-01-01,2
TOTAL,PCH_Q1_NSA,NO,2016-04-01,4
TOTAL,PCH_Q1_NSA,NO,2016-07-01,2
TOTAL,PCH_Q1_NSA,NO,2016-10-01,1
TOTAL,PCH_Q1_NSA,NO,2017-01-01,2
TOTAL,PCH_Q1_NSA,NO,2017-04-01,0
TOTAL,PCH_Q1_NSA,NO,2017-07-01,2
TOTAL,PCH_Q1_NSA,NO,2017-10-01,0
TOTAL,PCH_Q1_NSA,NO,2018-01-01,1
TOTAL,PCH_Q1_NSA,NO,2018-04-01,2
TOTAL,PCH_Q1_NSA,PL,2015-07-01,0
TOTAL,PCH_Q1_NSA,PL,2015-10-01,0
TOTAL,PCH_Q1_NSA,PL,2016-01-01,0
TOTAL,PCH_Q1_NSA,PL,2016-04-01,0
TOTAL,PCH_Q1_NSA,PL,2016-07-01,1
TOTAL,PCH_Q1_NSA,PL,2016-10-01,1
TOTAL,PCH_Q1_NSA,PL,2017-01-01,0
TOTAL,PCH_Q1_NSA,PL,2017-04-01,2
TOTAL,PCH_Q1_NSA,PL,2017-07-01,1
TOTAL,PCH_Q1_NSA,PL,2017-10-01,1
TOTAL,PCH_Q1_NSA,PL,2018-01-01,1
TOTAL,PCH_Q1_NSA,PL,2018-04-01,2
TOTAL,PCH_Q1_NSA,PT,2015-07-01,0
TOTAL,PCH_Q1_NSA,PT,2015-10-01,1
TOTAL,PCH_Q1_NSA,PT,2016-01-01,1
TOTAL,PCH_Q1_NSA,PT,2016-04-01,3
TOTAL,PCH_Q1_NSA,PT,2016-07-01,1
TOTAL,PCH_Q1_NSA,PT,2016-10-01,1
TOTAL,PCH_Q1_NSA,PT,2017-01-01,2
TOTAL,PCH_Q1_NSA,PT,2017-04-01,3
TOTAL,PCH_Q1_NSA,PT,2017-07-01,3
TOTAL,PCH_Q1_NSA,PT,2017-10-01,1
TOTAL,PCH_Q1_NSA,PT,2018-01-01,3
TOTAL,PCH_Q1_NSA,PT,2018-04-01,2
TOTAL,PCH_Q1_NSA,RO,2015-07-01,0
TOTAL,PCH_Q1_NSA,RO,2015-10-01,1
TOTAL,PCH_Q1_NSA,RO,2016-01-01,3
TOTAL,PCH_Q1_NSA,RO,2016-04-01,2
TOTAL,PCH_Q1_NSA,RO,2016-07-01,0
TOTAL,PCH_Q1_NSA,RO,2016-10-01,1
TOTAL,PCH_Q1_NSA,RO,2017-01-01,1
TOTAL,PCH_Q1_NSA,RO,2017-04-01,4
TOTAL,PCH_Q1_NSA,RO,2017-07-01,1
TOTAL,PCH_Q1_NSA,RO,2017-10-01,1
TOTAL,PCH_Q1_NSA,RO,2018-01-01,2
TOTAL,PCH_Q1_NSA,RO,2018-04-01,3
TOTAL,PCH_Q1_NSA,SE,2015-07-01,3
TOTAL,PCH_Q1_NSA,SE,2015-10-01,2
TOTAL,PCH_Q1_NSA,SE,2016-01-01,2
TOTAL,PCH_Q1_NSA,SE,2016-04-01,0
TOTAL,PCH_Q1_NSA,SE,2016-07-01,2
TOTAL,PCH_Q1_NSA,SE,2016-10-01,1
TOTAL,PCH_Q1_NSA,SE,2017-01-01,2
TOTAL,PCH_Q1_NSA,SE,2017-04-01,1
TOTAL,PCH_Q1_NSA,SE,2017-07-01,1
TOTAL,PCH_Q1_NSA,SE,2017-10-01,2
TOTAL,PCH_Q1_NSA,SE,2018-01-01,0
TOTAL,PCH_Q1_NSA,SE,2018-04-01,0
TOTAL,PCH_Q1_NSA,SI,2015-07-01,3
TOTAL,PCH_Q1_NSA,SI,2015-10-01,0
TOTAL,PCH_Q1_NSA,SI,2016-01-01,2
TOTAL,PCH_Q1_NSA,SI,2016-04-01,1
TOTAL,PCH_Q1_NSA,SI,2016-07-01,0
TOTAL,PCH_Q1_NSA,SI,2016-10-01,1
TOTAL,PCH_Q1_NSA,SI,2017-01-01,1
TOTAL,PCH_Q1_NSA,SI,2017-04-01,4
TOTAL,PCH_Q1_NSA,SI,2017-07-01,0
TOTAL,PCH_Q1_NSA,SI,2017-10-01,3
TOTAL,PCH_Q1_NSA,SI,2018-01-01,4
TOTAL,PCH_Q1_NSA,SI,2018-04-01,4
TOTAL,PCH_Q1_NSA,SK,2015-07-01,0
TOTAL,PCH_Q1_NSA,SK,2015-10-01,1
TOTAL,PCH_Q1_NSA,SK,2016-01-01,1
TOTAL,PCH_Q1_NSA,SK,2016-04-01,2
TOTAL,PCH_Q1_NSA,SK,2016-07-01,1
TOTAL,PCH_Q1_NSA,SK,2016-10-01,1
TOTAL,PCH_Q1_NSA,SK,2017-01-01,2
TOTAL,PCH_Q1_NSA,SK,2017-04-01,5
TOTAL,PCH_Q1_NSA,SK,2017-07-01,2
TOTAL,PCH_Q1_NSA,SK,2017-10-01,0
TOTAL,PCH_Q1_NSA,SK,2018-01-01,2
TOTAL,PCH_Q1_NSA,SK,2018-04-01,1
TOTAL,PCH_Q1_NSA,UK,2015-07-01,3
TOTAL,PCH_Q1_NSA,UK,2015-10-01,1
TOTAL,PCH_Q1_NSA,UK,2016-01-01,1
TOTAL,PCH_Q1_NSA,UK,2016-04-01,2
TOTAL,PCH_Q1_NSA,UK,2016-07-01,2
TOTAL,PCH_Q1_NSA,UK,2016-10-01,0
TOTAL,PCH_Q1_NSA,UK,2017-01-01,0
TOTAL,PCH_Q1_NSA,UK,2017-04-01,2
TOTAL,PCH_Q1_NSA,UK,2017-07-01,2
TOTAL,PCH_Q1_NSA,UK,2017-10-01,0
TOTAL,PCH_Q1_NSA,UK,2018-01-01,0
TOTAL,PCH_Q1_NSA,UK,2018-04-01,1
TOTAL,PCH_Q4_NSA,AT,2015-07-01,9
TOTAL,PCH_Q4_NSA,AT,2015-10-01,6
TOTAL,PCH_Q4_NSA,AT,2016-01-01,13
TOTAL,PCH_Q4_NSA,AT,2016-04-01,9
TOTAL,PCH_Q4_NSA,AT,2016-07-01,5
TOTAL,PCH_Q4_NSA,AT,2016-10-01,7
TOTAL,PCH_Q4_NSA,AT,2017-01-01,4
TOTAL,PCH_Q4_NSA,AT,2017-04-01,4
TOTAL,PCH_Q4_NSA,AT,2017-07-01,4
TOTAL,PCH_Q4_NSA,AT,2017-10-01,6
TOTAL,PCH_Q4_NSA,AT,2018-01-01,5
TOTAL,PCH_Q4_NSA,AT,2018-04-01,3
TOTAL,PCH_Q4_NSA,BE,2015-07-01,2
TOTAL,PCH_Q4_NSA,BE,2015-10-01,1
TOTAL,PCH_Q4_NSA,BE,2016-01-01,3
TOTAL,PCH_Q4_NSA,BE,2016-04-01,2
TOTAL,PCH_Q4_NSA,BE,2016-07-01,2
TOTAL,PCH_Q4_NSA,BE,2016-10-01,2
TOTAL,PCH_Q4_NSA,BE,2017-01-01,4
TOTAL,PCH_Q4_NSA,BE,2017-04-01,2
TOTAL,PCH_Q4_NSA,BE,2017-07-01,3
TOTAL,PCH_Q4_NSA,BE,2017-10-01,3
TOTAL,PCH_Q4_NSA,BE,2018-01-01,2
TOTAL,PCH_Q4_NSA,BE,2018-04-01,3
TOTAL,PCH_Q4_NSA,BG,2015-07-01,2
TOTAL,PCH_Q4_NSA,BG,2015-10-01,4
TOTAL,PCH_Q4_NSA,BG,2016-01-01,4
TOTAL,PCH_Q4_NSA,BG,2016-04-01,6
TOTAL,PCH_Q4_NSA,BG,2016-07-01,8
TOTAL,PCH_Q4_NSA,BG,2016-10-01,8
TOTAL,PCH_Q4_NSA,BG,2017-01-01,9
TOTAL,PCH_Q4_NSA,BG,2017-04-01,8
TOTAL,PCH_Q4_NSA,BG,2017-07-01,9
TOTAL,PCH_Q4_NSA,BG,2017-10-01,8
TOTAL,PCH_Q4_NSA,BG,2018-01-01,7
TOTAL,PCH_Q4_NSA,BG,2018-04-01,7
TOTAL,PCH_Q4_NSA,CY,2015-07-01,0
TOTAL,PCH_Q4_NSA,CY,2015-10-01,2
TOTAL,PCH_Q4_NSA,CY,2016-01-01,0
TOTAL,PCH_Q4_NSA,CY,2016-04-01,1
TOTAL,PCH_Q4_NSA,CY,2016-07-01,0
TOTAL,PCH_Q4_NSA,CY,2016-10-01,3
TOTAL,PCH_Q4_NSA,CY,2017-01-01,2
TOTAL,PCH_Q4_NSA,CY,2017-04-01,3
TOTAL,PCH_Q4_NSA,CY,2017-07-01,0
TOTAL,PCH_Q4_NSA,CY,2017-10-01,2
TOTAL,PCH_Q4_NSA,CY,2018-01-01,3
TOTAL,PCH_Q4_NSA,CY,2018-04-01,1
TOTAL,PCH_Q4_NSA,CZ,2015-07-01,4
TOTAL,PCH_Q4_NSA,CZ,2015-10-01,4
TOTAL,PCH_Q4_NSA,CZ,2016-01-01,4
TOTAL,PCH_Q4_NSA,CZ,2016-04-01,5
TOTAL,PCH_Q4_NSA,CZ,2016-07-01,7
TOTAL,PCH_Q4_NSA,CZ,2016-10-01,10
TOTAL,PCH_Q4_NSA,CZ,2017-01-01,12
TOTAL,PCH_Q4_NSA,CZ,2017-04-01,13
TOTAL,PCH_Q4_NSA,CZ,2017-07-01,12
TOTAL,PCH_Q4_NSA,CZ,2017-10-01,8
TOTAL,PCH_Q4_NSA,CZ,2018-01-01,7
TOTAL,PCH_Q4_NSA,CZ,2018-04-01,7
TOTAL,PCH_Q4_NSA,DE,2015-07-01,4
TOTAL,PCH_Q4_NSA,DE,2015-10-01,5
TOTAL,PCH_Q4_NSA,DE,2016-01-01,4
TOTAL,PCH_Q4_NSA,DE,2016-04-01,5
TOTAL,PCH_Q4_NSA,DE,2016-07-01,6
TOTAL,PCH_Q4_NSA,DE,2016-10-01,6
TOTAL,PCH_Q4_NSA,DE,2017-01-01,5
TOTAL,PCH_Q4_NSA,DE,2017-04-01,4
TOTAL,PCH_Q4_NSA,DE,2017-07-01,4
TOTAL,PCH_Q4_NSA,DE,2017-10-01,4
TOTAL,PCH_Q4_NSA,DE,2018-01-01,5
TOTAL,PCH_Q4_NSA,DE,2018-04-01,4
TOTAL,PCH_Q4_NSA,DK,2015-07-01,7
TOTAL,PCH_Q4_NSA,DK,2015-10-01,7
TOTAL,PCH_Q4_NSA,DK,2016-01-01,5
TOTAL,PCH_Q4_NSA,DK,2016-04-01,5
TOTAL,PCH_Q4_NSA,DK,2016-07-01,5
TOTAL,PCH_Q4_NSA,DK,2016-10-01,4
TOTAL,PCH_Q4_NSA,DK,2017-01-01,4
TOTAL,PCH_Q4_NSA,DK,2017-04-01,4
TOTAL,PCH_Q4_NSA,DK,2017-07-01,4
TOTAL,PCH_Q4_NSA,DK,2017-10-01,4
TOTAL,PCH_Q4_NSA,DK,2018-01-01,5
TOTAL,PCH_Q4_NSA,DK,2018-04-01,4
TOTAL,PCH_Q4_NSA,EA,2015-07-01,1
TOTAL,PCH_Q4_NSA,EA,2015-10-01,2
TOTAL,PCH_Q4_NSA,EA,2016-01-01,3
TOTAL,PCH_Q4_NSA,EA,2016-04-01,3
TOTAL,PCH_Q4_NSA,EA,2016-07-01,3
TOTAL,PCH_Q4_NSA,EA,2016-10-01,3
TOTAL,PCH_Q4_NSA,EA,2017-01-01,3
TOTAL,PCH_Q4_NSA,EA,2017-04-01,3
TOTAL,PCH_Q4_NSA,EA,2017-07-01,3
TOTAL,PCH_Q4_NSA,EA,2017-10-01,4
TOTAL,PCH_Q4_NSA,EA,2018-01-01,4
TOTAL,PCH_Q4_NSA,EA,2018-04-01,4
TOTAL,PCH_Q4_NSA,EE,2015-07-01,4
TOTAL,PCH_Q4_NSA,EE,2015-10-01,5
TOTAL,PCH_Q4_NSA,EE,2016-01-01,2
TOTAL,PCH_Q4_NSA,EE,2016-04-01,1
TOTAL,PCH_Q4_NSA,EE,2016-07-01,7
TOTAL,PCH_Q4_NSA,EE,2016-10-01,7
TOTAL,PCH_Q4_NSA,EE,2017-01-01,7
TOTAL,PCH_Q4_NSA,EE,2017-04-01,4
TOTAL,PCH_Q4_NSA,EE,2017-07-01,4
TOTAL,PCH_Q4_NSA,EE,2017-10-01,4
TOTAL,PCH_Q4_NSA,EE,2018-01-01,6
TOTAL,PCH_Q4_NSA,EE,2018-04-01,7
TOTAL,PCH_Q4_NSA,ES,2015-07-01,4
TOTAL,PCH_Q4_NSA,ES,2015-10-01,4
TOTAL,PCH_Q4_NSA,ES,2016-01-01,6
TOTAL,PCH_Q4_NSA,ES,2016-04-01,3
TOTAL,PCH_Q4_NSA,ES,2016-07-01,4
TOTAL,PCH_Q4_NSA,ES,2016-10-01,4
TOTAL,PCH_Q4_NSA,ES,2017-01-01,5
TOTAL,PCH_Q4_NSA,ES,2017-04-01,5
TOTAL,PCH_Q4_NSA,ES,2017-07-01,6
TOTAL,PCH_Q4_NSA,ES,2017-10-01,7
TOTAL,PCH_Q4_NSA,ES,2018-01-01,6
TOTAL,PCH_Q4_NSA,ES,2018-04-01,6
TOTAL,PCH_Q4_NSA,EU,2015-07-01,2
TOTAL,PCH_Q4_NSA,EU,2015-10-01,3
TOTAL,PCH_Q4_NSA,EU,2016-01-01,4
TOTAL,PCH_Q4_NSA,EU,2016-04-01,4
TOTAL,PCH_Q4_NSA,EU,2016-07-01,4
TOTAL,PCH_Q4_NSA,EU,2016-10-01,4
TOTAL,PCH_Q4_NSA,EU,2017-01-01,4
TOTAL,PCH_Q4_NSA,EU,2017-04-01,4
TOTAL,PCH_Q4_NSA,EU,2017-07-01,4
TOTAL,PCH_Q4_NSA,EU,2017-10-01,4
TOTAL,PCH_Q4_NSA,EU,2018-01-01,4
TOTAL,PCH_Q4_NSA,EU,2018-04-01,4
TOTAL,PCH_Q4_NSA,EU28,2015-07-01,2
TOTAL,PCH_Q4_NSA,EU28,2015-10-01,3
TOTAL,PCH_Q4_NSA,EU28,2016-01-01,4
TOTAL,PCH_Q4_NSA,EU28,2016-04-01,4
TOTAL,PCH_Q4_NSA,EU28,2016-07-01,4
TOTAL,PCH_Q4_NSA,EU28,2016-10-01,4
TOTAL,PCH_Q4_NSA,EU28,2017-01-01,4
TOTAL,PCH_Q4_NSA,EU28,2017-04-01,4
TOTAL,PCH_Q4_NSA,EU28,2017-07-01,4
TOTAL,PCH_Q4_NSA,EU28,2017-10-01,4
TOTAL,PCH_Q4_NSA,EU28,2018-01-01,4
TOTAL,PCH_Q4_NSA,EU28,2018-04-01,4
TOTAL,PCH_Q4_NSA,FI,2015-07-01,0
TOTAL,PCH_Q4_NSA,FI,2015-10-01,0
TOTAL,PCH_Q4_NSA,FI,2016-01-01,0
TOTAL,PCH_Q4_NSA,FI,2016-04-01,0
TOTAL,PCH_Q4_NSA,FI,2016-07-01,0
TOTAL,PCH_Q4_NSA,FI,2016-10-01,0
TOTAL,PCH_Q4_NSA,FI,2017-01-01,2
TOTAL,PCH_Q4_NSA,FI,2017-04-01,1
TOTAL,PCH_Q4_NSA,FI,2017-07-01,1
TOTAL,PCH_Q4_NSA,FI,2017-10-01,1
TOTAL,PCH_Q4_NSA,FI,2018-01-01,0
TOTAL,PCH_Q4_NSA,FI,2018-04-01,0
TOTAL,PCH_Q4_NSA,FR,2015-07-01,1
TOTAL,PCH_Q4_NSA,FR,2015-10-01,0
TOTAL,PCH_Q4_NSA,FR,2016-01-01,0
TOTAL,PCH_Q4_NSA,FR,2016-04-01,0
TOTAL,PCH_Q4_NSA,FR,2016-07-01,1
TOTAL,PCH_Q4_NSA,FR,2016-10-01,1
TOTAL,PCH_Q4_NSA,FR,2017-01-01,2
TOTAL,PCH_Q4_NSA,FR,2017-04-01,3
TOTAL,PCH_Q4_NSA,FR,2017-07-01,3
TOTAL,PCH_Q4_NSA,FR,2017-10-01,3
TOTAL,PCH_Q4_NSA,FR,2018-01-01,2
TOTAL,PCH_Q4_NSA,FR,2018-04-01,2
TOTAL,PCH_Q4_NSA,HR,2015-07-01,3
TOTAL,PCH_Q4_NSA,HR,2015-10-01,2
TOTAL,PCH_Q4_NSA,HR,2016-01-01,0
TOTAL,PCH_Q4_NSA,HR,2016-04-01,1
TOTAL,PCH_Q4_NSA,HR,2016-07-01,1
TOTAL,PCH_Q4_NSA,HR,2016-10-01,0
TOTAL,PCH_Q4_NSA,HR,2017-01-01,0
TOTAL,PCH_Q4_NSA,HR,2017-04-01,4
TOTAL,PCH_Q4_NSA,HR,2017-07-01,3
TOTAL,PCH_Q4_NSA,HR,2017-10-01,7
TOTAL,PCH_Q4_NSA,HR,2018-01-01,8
TOTAL,PCH_Q4_NSA,HR,2018-04-01,4
TOTAL,PCH_Q4_NSA,HU,2015-07-01,15
TOTAL,PCH_Q4_NSA,HU,2015-10-01,14
TOTAL,PCH_Q4_NSA,HU,2016-01-01,16
TOTAL,PCH_Q4_NSA,HU,2016-04-01,13
TOTAL,PCH_Q4_NSA,HU,2016-07-01,11
TOTAL,PCH_Q4_NSA,HU,2016-10-01,11
TOTAL,PCH_Q4_NSA,HU,2017-01-01,5
TOTAL,PCH_Q4_NSA,HU,2017-04-01,6
TOTAL,PCH_Q4_NSA,HU,2017-07-01,6
TOTAL,PCH_Q4_NSA,HU,2017-10-01,6
TOTAL,PCH_Q4_NSA,HU,2018-01-01,12
TOTAL,PCH_Q4_NSA,HU,2018-04-01,10
TOTAL,PCH_Q4_NSA,IE,2015-07-01,8
TOTAL,PCH_Q4_NSA,IE,2015-10-01,6
TOTAL,PCH_Q4_NSA,IE,2016-01-01,7
TOTAL,PCH_Q4_NSA,IE,2016-04-01,6
TOTAL,PCH_Q4_NSA,IE,2016-07-01,7
TOTAL,PCH_Q4_NSA,IE,2016-10-01,8
TOTAL,PCH_Q4_NSA,IE,2017-01-01,9
TOTAL,PCH_Q4_NSA,IE,2017-04-01,10
TOTAL,PCH_Q4_NSA,IE,2017-07-01,11
TOTAL,PCH_Q4_NSA,IE,2017-10-01,11
TOTAL,PCH_Q4_NSA,IE,2018-01-01,12
TOTAL,PCH_Q4_NSA,IE,2018-04-01,12
TOTAL,PCH_Q4_NSA,IS,2015-07-01,8
TOTAL,PCH_Q4_NSA,IS,2015-10-01,8
TOTAL,PCH_Q4_NSA,IS,2016-01-01,7
TOTAL,PCH_Q4_NSA,IS,2016-04-01,7
TOTAL,PCH_Q4_NSA,IS,2016-07-01,10
TOTAL,PCH_Q4_NSA,IS,2016-10-01,13
TOTAL,PCH_Q4_NSA,IS,2017-01-01,16
TOTAL,PCH_Q4_NSA,IS,2017-04-01,22
TOTAL,PCH_Q4_NSA,IS,2017-07-01,22
TOTAL,PCH_Q4_NSA,IS,2017-10-01,17
TOTAL,PCH_Q4_NSA,IS,2018-01-01,13
TOTAL,PCH_Q4_NSA,IS,2018-04-01,8
TOTAL,PCH_Q4_NSA,IT,2015-07-01,2
TOTAL,PCH_Q4_NSA,IT,2015-10-01,2
TOTAL,PCH_Q4_NSA,IT,2016-01-01,0
TOTAL,PCH_Q4_NSA,IT,2016-04-01,0
TOTAL,PCH_Q4_NSA,IT,2016-07-01,0
TOTAL,PCH_Q4_NSA,IT,2016-10-01,0
TOTAL,PCH_Q4_NSA,IT,2017-01-01,0
TOTAL,PCH_Q4_NSA,IT,2017-04-01,0
TOTAL,PCH_Q4_NSA,IT,2017-07-01,1
